"coverType","tsd","t1","Ac","iqs","IDR100","G","seedlings"
"EN",19,2.70411961994944,16.2958803800506,15,0.171790760057047,0,0
"EN",90,2.84540463498157,87.1545953650184,14.5699996948242,0.411011617607437,13.5067415628593,0.531613280656955
"EN",202,5.82229115267318,150,9.68000030517578,0.276649184455164,11.9928599868013,0.581071435870525
"EN",90,4.6104831343065,85.3895168656935,11.0600004196167,0.498584834137,13.0560406251269,0.515442855408926
"EN",90,4.25410310337082,85.7458968966292,11.5799999237061,0.258642480405979,7.11867284103227,0.288617870416195
"PG",90,NA,NA,0,0.9548334303312,NA,NA
"EN",90,4.57421317163769,85.4257868283623,11.1099996566772,0.107587779639289,4.38666330017205,0.182926873180948
"EN",90,4.57421317163769,85.4257868283623,11.1099996566772,1,53.6803575482026,1.97503390105922
"EN",232,2.74888629534023,150,14.8599996566772,0.249866316164844,17.0871875277426,0.809377492392628
"EN",90,4.26054348598462,85.7394565140154,11.5699996948242,0.298685670620762,7.95254048814117,0.320633165024605
"EN",90,4.26054348598462,85.7394565140154,11.5699996948242,0.474912648671307,13.0168932984345,0.512046999089103
"EN",32,5.83283822993302,26.167161770067,9.67000007629395,0.785267459740862,7.52043616278593,0.138054385738776
"EN",90,4.65460789830816,85.3453921016918,11,0.517445220937952,13.6557926606082,0.537775104436287
"EN",90,4.22849451031524,85.7715054896848,11.6199998855591,0.271139130415395,7.40681799108061,0.299749843500726
"EN",90,4.20944678307198,85.790553216928,11.6499996185303,0.117789508705027,4.84227997797285,0.200195543977152
"EN",90,4.55266506884707,85.4473349311529,11.1400003433228,0.670881344564259,21.3960726710387,0.82436758843135
"EN",90,4.55266506884707,85.4473349311529,11.1400003433228,0.224450950929895,6.11444961519563,0.250808961165024
"EN",191,5.78040200573225,150,9.72000026702881,0.359467641357333,13.7802987657349,0.66305354838217
"EN",90,4.54551847282195,85.4544815271781,11.1499996185303,0.449248624127358,11.5038694677336,0.457217741023892
"EN",90,4.19682267718782,85.8031773228122,11.6700000762939,0.428106083883904,11.5515836265773,0.457296988507693
"EN",90,4.51710557201067,85.4828944279893,11.1899995803833,0.634692378365435,19.4525884136527,0.753217681671832
"EN",90,4.53127669545564,85.4687233045444,11.1700000762939,0.137716452637687,4.81361396402744,0.199850132793577
"EN",90,4.24767800303151,85.7523219969685,11.5900001525879,0.532523920782842,15.326941512211,0.598057728969154
"EN",138,4.46804930157702,133.531950698423,11.2600002288818,0.14403782049194,10.4058198650534,0.491018018816524
"PG",38,2.74160559792981,35.2583944020702,14.9899997711182,0.216597640514374,1.09207058360795,0.0758895389416687
"PG",20,2.74423417520364,17.2557658247964,14.9799995422363,0.241479236609302,0,0
